DateTime;StationName;rtu_id;PEnt;PSal;Pmed_1;Tmed_1;Qinst_1;AcDia_1;AcAnt_1
01/01/2022 05:05:00 p.m.;Vál. Aut. Bower;145;38.314;39.026;;;;;
01/01/2022 06:05:00 p.m.;Sudoeste;7;37.146;25.244;25.244;20.324;23.853;204.542;589.258
01/01/2022 06:05:00 p.m.;Toledo;21;49.401;38.042;49.401;27.672;17.581;221.389;674.772
01/01/2022 06:05:00 p.m.;Vál. Aut. Bower;145;37.819;38.468;;;;;
01/01/2022 07:05:00 p.m.;Sudoeste;7;36.381;25.238;25.238;20.046;28.04;227.209;589.258
01/01/2022 07:05:00 p.m.;Toledo;21;49.314;37.23;49.314;26.533;18.017;239.556;674.772
01/01/2022 07:05:00 p.m.;Vál. Aut. Bower;145;36.923;37.571;;;;;
01/01/2022 08:05:00 p.m.;Sudoeste;7;;;;;;;
01/01/2022 08:05:00 p.m.;Toledo;21;49.16;36.489;49.16;25.088;31.459;263.78;674.772
01/01/2022 08:05:00 p.m.;Vál. Aut. Bower;145;36.019;36.671;;;;;
01/01/2022 09:05:00 p.m.;Sudoeste;7;35.83;25.231;25.231;19.726;32.352;285.161;589.258
01/01/2022 09:05:00 p.m.;Toledo;21;49.02;36.528;49.02;24.124;37.434;298.79;674.772
01/01/2022 09:05:00 p.m.;Vál. Aut. Bower;145;35.974;36.57;;;;;
01/01/2022 10:05:00 p.m.;Sudoeste;7;35.96;25.235;25.235;19.71;32.923;318.751;589.258
01/01/2022 10:05:00 p.m.;Toledo;21;48.924;36.547;48.924;23.953;38.925;337.433;674.772
01/01/2022 10:05:00 p.m.;Vál. Aut. Bower;145;35.978;36.521;;;;;
01/01/2022 11:05:00 p.m.;Sudoeste;7;36.594;25.247;25.247;19.426;26.991;349.469;589.258
01/01/2022 11:05:00 p.m.;Toledo;21;48.885;37.061;48.885;22.996;39.184;376.812;674.772
01/01/2022 11:05:00 p.m.;Vál. Aut. Bower;145;36.368;36.908;;;;;
02/01/2022 12:05:00 a.m.;Sudoeste;7;37.92;25.28;25.28;18.816;23.703;374.171;589.258
02/01/2022 12:05:00 a.m.;Toledo;21;48.914;38.176;48.914;22.63;38.058;415.549;674.772
02/01/2022 12:05:00 a.m.;Vál. Aut. Bower;145;37.429;37.92;;;;;
02/01/2022 01:05:00 a.m.;Sudoeste;7;38.753;25.286;25.286;18.336;18.783;396.013;589.258
02/01/2022 01:05:00 a.m.;Toledo;21;49.044;38.835;49.044;22.467;23.803;446.505;674.772
02/01/2022 01:05:00 a.m.;Vál. Aut. Bower;145;38.194;38.633;;;;;
02/01/2022 02:05:00 a.m.;Sudoeste;7;38.898;25.302;25.302;18.183;18.091;414.86;589.258
02/01/2022 02:05:00 a.m.;Toledo;21;49.155;38.888;49.155;22.162;20.785;468.154;674.772
02/01/2022 02:05:00 a.m.;Vál. Aut. Bower;145;38.235;38.674;;;;;
02/01/2022 03:05:00 a.m.;Sudoeste;7;39;25.296;25.296;18.183;18.483;432.79;589.258
02/01/2022 03:05:00 a.m.;Toledo;21;49.324;38.888;49.324;21.959;19.774;488.374;674.772
02/01/2022 03:05:00 a.m.;Vál. Aut. Bower;145;38.265;38.659;;;;;
02/01/2022 04:05:00 a.m.;Sudoeste;7;38.98;25.306;25.306;18.186;17.851;450.316;589.258
02/01/2022 04:05:00 a.m.;Toledo;21;49.487;38.931;49.487;22.239;19.095;507.511;674.772
02/01/2022 04:05:00 a.m.;Vál. Aut. Bower;145;38.306;38.708;;;;;
02/01/2022 05:05:00 a.m.;Sudoeste;7;39.038;25.309;25.309;18.065;17.447;467.993;589.258
02/01/2022 05:05:00 a.m.;Toledo;21;49.724;38.931;49.724;21.792;19.074;526.629;674.772
02/01/2022 05:05:00 a.m.;Vál. Aut. Bower;145;38.299;38.7;;;;;
02/01/2022 06:05:00 a.m.;Sudoeste;7;39.101;25.319;25.319;18.068;16.946;1.214;483.878
02/01/2022 06:05:00 a.m.;Toledo;21;49.931;38.888;49.931;21.942;19.171;3.726;542.415
02/01/2022 06:05:00 a.m.;Vál. Aut. Bower;145;38.306;38.693;;;;;
02/01/2022 07:05:00 a.m.;Sudoeste;7;38.893;25.309;25.309;18.333;17.684;18.764;483.878
02/01/2022 07:05:00 a.m.;Toledo;21;49.998;38.83;49.998;22.886;18.838;22.684;542.415
02/01/2022 07:05:00 a.m.;Vál. Aut. Bower;145;38.288;38.689;;;;;
02/01/2022 08:05:00 a.m.;Sudoeste;7;38.172;25.267;25.267;19.397;18.658;37.245;483.878
02/01/2022 08:05:00 a.m.;Toledo;21;50.104;38.383;50.104;25.288;18.506;41.427;542.415
02/01/2022 08:05:00 a.m.;Vál. Aut. Bower;145;38.111;38.621;;;;;
02/01/2022 09:05:00 a.m.;Sudoeste;7;36.551;25.238;25.238;20.142;22.569;58.705;483.878
02/01/2022 09:05:00 a.m.;Toledo;21;50.172;37.633;50.172;27.217;18.858;60.011;542.415
02/01/2022 09:05:00 a.m.;Vál. Aut. Bower;145;37.511;38.134;;;;;
02/01/2022 10:05:00 a.m.;Sudoeste;7;34.949;25.215;25.215;20.915;27.876;85.474;483.878
02/01/2022 10:05:00 a.m.;Toledo;21;50.206;36.398;50.206;28.527;19.964;79.272;542.415
02/01/2022 10:05:00 a.m.;Vál. Aut. Bower;145;36.274;37.129;;;;;
02/01/2022 11:05:00 a.m.;Sudoeste;7;34.208;25.189;25.189;21.235;32.704;116.595;483.878
02/01/2022 11:05:00 a.m.;Toledo;21;50.133;36.119;50.133;28.287;37.114;112.471;542.415
02/01/2022 11:05:00 a.m.;Vál. Aut. Bower;145;35.921;36.863;;;;;
02/01/2022 12:05:00 p.m.;Sudoeste;7;33.85;25.173;25.173;21.554;35.128;151.825;483.878
02/01/2022 12:05:00 p.m.;Toledo;21;50.061;36.071;50.061;29.561;41.769;151.578;542.415
02/01/2022 12:05:00 p.m.;Vál. Aut. Bower;145;35.914;36.848;;;;;
02/01/2022 01:05:00 p.m.;Sudoeste;7;33.618;25.157;25.157;21.682;36.755;188.735;483.878
02/01/2022 01:05:00 p.m.;Toledo;21;49.945;36.076;49.945;29.414;41.785;192.513;542.415
02/01/2022 01:05:00 p.m.;Vál. Aut. Bower;145;36.026;36.96;;;;;
02/01/2022 02:05:00 p.m.;Sudoeste;7;33.903;25.17;25.17;22.184;31.62;223.119;483.878
02/01/2022 02:05:00 p.m.;Toledo;21;49.815;36.307;49.815;31.018;43.731;235.003;542.415
02/01/2022 02:05:00 p.m.;Vál. Aut. Bower;145;36.281;37.253;;;;;
02/01/2022 03:05:00 p.m.;Sudoeste;7;35.684;25.209;25.209;23.676;18.398;247.969;483.878
02/01/2022 03:05:00 p.m.;Toledo;21;49.743;37.907;49.743;31.669;29.574;276.327;542.415
02/01/2022 03:05:00 p.m.;Vál. Aut. Bower;145;37.988;38.948;;;;;
02/01/2022 04:05:00 p.m.;Sudoeste;7;;;;;;;
02/01/2022 04:05:00 p.m.;Toledo;21;49.757;38.373;49.757;31.042;17.543;297.628;542.415
02/01/2022 04:05:00 p.m.;Vál. Aut. Bower;145;38.426;39.338;;;;;
02/01/2022 05:05:00 p.m.;Sudoeste;7;38.433;25.302;25.302;22.589;10.278;279.531;483.878
02/01/2022 05:05:00 p.m.;Toledo;21;49.728;38.892;49.728;19.667;14.251;313.344;542.415
02/01/2022 05:05:00 p.m.;Vál. Aut. Bower;145;38.389;38.756;;;;;
02/01/2022 06:05:00 p.m.;Sudoeste;7;38.603;25.283;25.283;20.5;16.593;289.393;483.878
02/01/2022 06:05:00 p.m.;Toledo;21;49.724;39.037;49.724;22.024;12.071;326.751;542.415
02/01/2022 06:05:00 p.m.;Vál. Aut. Bower;145;38.644;39.056;;;;;
02/01/2022 07:05:00 p.m.;Sudoeste;7;37.548;25.267;25.267;20.784;15.043;304.48;483.878
02/01/2022 07:05:00 p.m.;Toledo;21;49.709;38.316;49.709;22.789;12.418;338.955;542.415
02/01/2022 07:05:00 p.m.;Vál. Aut. Bower;145;37.935;38.408;;;;;
02/01/2022 08:05:00 p.m.;Sudoeste;7;37.282;25.257;25.257;19.86;18.789;320.078;483.878
02/01/2022 08:05:00 p.m.;Toledo;21;49.661;37.547;49.661;22.781;12.819;351.287;542.415
02/01/2022 08:05:00 p.m.;Vál. Aut. Bower;145;37.26;37.785;;;;;
02/01/2022 09:05:00 p.m.;Sudoeste;7;36.57;25.264;25.264;19.707;24.947;341.2;483.878
02/01/2022 09:05:00 p.m.;Toledo;21;49.526;36.845;49.526;22.76;26.246;371.033;542.415
02/01/2022 09:05:00 p.m.;Vál. Aut. Bower;145;36.465;36.956;;;;;
02/01/2022 10:05:00 p.m.;Sudoeste;7;36.391;25.26;25.26;19.566;26.724;368.939;483.878
02/01/2022 10:05:00 p.m.;Toledo;21;49.353;36.59;49.353;22.443;34.184;400.829;542.415
02/01/2022 10:05:00 p.m.;Vál. Aut. Bower;145;36.068;36.585;;;;;
02/01/2022 11:05:00 p.m.;Sudoeste;7;36.851;25.28;25.28;19.435;23.369;394.36;483.878
02/01/2022 11:05:00 p.m.;Toledo;21;49.237;37.042;49.237;22.724;35.111;436.352;542.415
02/01/2022 11:05:00 p.m.;Vál. Aut. Bower;145;36.469;36.945;;;;;
03/01/2022 12:05:00 a.m.;Sudoeste;7;38.24;25.296;25.296;18.963;16.122;413.926;483.878
03/01/2022 12:05:00 a.m.;Toledo;21;49.16;38.215;49.16;22.699;33.991;470.441;542.415
03/01/2022 12:05:00 a.m.;Vál. Aut. Bower;145;37.65;38.108;;;;;
03/01/2022 01:05:00 a.m.;Sudoeste;7;38.956;25.299;25.299;18.924;11.91;427.483;483.878
03/01/2022 01:05:00 a.m.;Toledo;21;49.198;38.844;49.198;22.39;16.985;493.665;542.415
03/01/2022 01:05:00 a.m.;Vál. Aut. Bower;145;38.411;38.835;;;;;
03/01/2022 02:05:00 a.m.;Sudoeste;7;39.697;25.357;25.357;18.646;0;430.528;483.878
03/01/2022 02:05:00 a.m.;Toledo;21;49.232;39.464;49.232;21.938;7.381;505.477;542.415
03/01/2022 02:05:00 a.m.;Vál. Aut. Bower;145;38.963;39.326;;;;;
03/01/2022 03:05:00 a.m.;Sudoeste;7;40.016;25.338;25.338;17.911;0;431.984;483.878
03/01/2022 03:05:00 a.m.;Toledo;21;49.28;39.57;49.28;21.47;4.889;510.951;542.415
03/01/2022 03:05:00 a.m.;Vál. Aut. Bower;145;39.109;39.484;;;;;
03/01/2022 04:05:00 a.m.;Sudoeste;7;40.069;25.322;25.322;17.457;0;432.351;483.878
03/01/2022 04:05:00 a.m.;Toledo;21;49.295;39.666;49.295;21.136;4.53;515.538;542.415
03/01/2022 04:05:00 a.m.;Vál. Aut. Bower;145;39.15;39.518;;;;;
03/01/2022 05:05:00 a.m.;Sudoeste;7;40.094;25.293;25.293;17.588;0;434.09;483.878
03/01/2022 05:05:00 a.m.;Toledo;21;49.295;39.7;49.295;20.957;3.697;519.373;542.415
03/01/2022 05:05:00 a.m.;Vál. Aut. Bower;145;39.195;39.566;;;;;
03/01/2022 06:05:00 a.m.;Sudoeste;7;40.127;25.335;25.335;17.16;0;0;434.565
03/01/2022 06:05:00 a.m.;Toledo;21;49.271;39.633;49.271;20.835;3.015;0.584;521.952
03/01/2022 06:05:00 a.m.;Vál. Aut. Bower;145;39.176;39.555;;;;;
03/01/2022 07:05:00 a.m.;Sudoeste;7;38.864;25.315;25.315;18.627;13.829;10.143;434.565
03/01/2022 07:05:00 a.m.;Toledo;21;49.218;38.719;49.218;22.699;3.521;3.643;521.952
03/01/2022 07:05:00 a.m.;Vál. Aut. Bower;145;38.318;38.756;;;;;
03/01/2022 08:05:00 a.m.;Sudoeste;7;36.256;25.244;25.244;20.148;20.794;30.261;434.565
03/01/2022 08:05:00 a.m.;Toledo;21;49.068;36.648;49.068;26.049;19.982;10.476;521.952
03/01/2022 08:05:00 a.m.;Vál. Aut. Bower;145;36.514;37.061;;;;;
03/01/2022 09:05:00 a.m.;Sudoeste;7;34.726;25.199;25.199;21.203;26.226;53.341;434.565
03/01/2022 09:05:00 a.m.;Toledo;21;48.967;36.403;48.967;26.915;27.295;36.277;521.952
03/01/2022 09:05:00 a.m.;Vál. Aut. Bower;145;36.319;36.975;;;;;
03/01/2022 10:05:00 a.m.;Sudoeste;7;34.504;25.205;25.205;21.538;31.235;82.371;434.565
03/01/2022 10:05:00 a.m.;Toledo;21;48.899;36.206;48.899;26.765;35.58;67.424;521.952
03/01/2022 10:05:00 a.m.;Vál. Aut. Bower;145;36.008;36.739;;;;;
03/01/2022 11:05:00 a.m.;Sudoeste;7;33.947;25.183;25.183;21.244;37.754;116.409;434.565
03/01/2022 11:05:00 a.m.;Toledo;21;48.798;35.966;48.798;27.611;41.041;104.657;521.952
03/01/2022 11:05:00 a.m.;Vál. Aut. Bower;145;35.824;36.608;;;;;
03/01/2022 12:05:00 p.m.;Sudoeste;7;33.516;25.157;25.157;21.097;42.991;158.618;434.565
03/01/2022 12:05:00 p.m.;Toledo;21;48.63;35.869;48.63;27.506;49.527;150.889;521.952
03/01/2022 12:05:00 p.m.;Vál. Aut. Bower;145;35.67;36.551;;;;;
03/01/2022 01:05:00 p.m.;Sudoeste;7;33.594;25.157;25.157;21.231;42.351;201.093;434.565
03/01/2022 01:05:00 p.m.;Toledo;21;48.398;36.057;48.398;27.53;49.939;200.81;521.952
03/01/2022 01:05:00 p.m.;Vál. Aut. Bower;145;35.88;36.769;;;;;
03/01/2022 02:05:00 p.m.;Sudoeste;7;34.363;25.17;25.17;20.937;39.201;242.786;434.565
03/01/2022 02:05:00 p.m.;Toledo;21;48.167;36.398;48.167;27.717;49.225;250.829;521.952
03/01/2022 02:05:00 p.m.;Vál. Aut. Bower;145;36.248;37.125;;;;;
03/01/2022 03:05:00 p.m.;Sudoeste;7;35.462;25.192;25.192;21.398;32.998;279.268;434.565
03/01/2022 03:05:00 p.m.;Toledo;21;47.945;37.412;47.945;28.979;48.229;300;521.952
03/01/2022 03:05:00 p.m.;Vál. Aut. Bower;145;37.264;38.111;;;;;
03/01/2022 04:05:00 p.m.;Sudoeste;7;35.985;25.199;25.199;21.279;32.096;310.898;434.565
03/01/2022 04:05:00 p.m.;Toledo;21;47.849;37.681;47.849;29.475;34.132;338.392;521.952
03/01/2022 04:05:00 p.m.;Vál. Aut. Bower;145;37.748;38.606;;;;;
03/01/2022 05:05:00 p.m.;Sudoeste;7;36.265;25.205;25.205;20.64;33.056;343.442;434.565
03/01/2022 05:05:00 p.m.;Toledo;21;47.897;37.604;47.897;27.432;34.452;372.54;521.952
03/01/2022 05:05:00 p.m.;Vál. Aut. Bower;145;37.628;38.441;;;;;
03/01/2022 06:05:00 p.m.;Sudoeste;7;35.67;25.196;25.196;20.969;34.29;377.014;434.565
03/01/2022 06:05:00 p.m.;Toledo;21;47.887;37.225;47.887;27.615;34.694;407.159;521.952
03/01/2022 06:05:00 p.m.;Vál. Aut. Bower;145;37.268;38.066;;;;;
03/01/2022 07:05:00 p.m.;Sudoeste;7;35.951;25.218;25.218;20.963;25.977;408.722;434.565
03/01/2022 07:05:00 p.m.;Toledo;21;47.897;37.1;47.897;27.123;34.894;442.184;521.952
03/01/2022 07:05:00 p.m.;Vál. Aut. Bower;145;36.99;37.804;;;;;
03/01/2022 08:05:00 p.m.;Sudoeste;7;36.686;25.241;25.241;20.196;26.785;436.023;434.565
03/01/2022 08:05:00 p.m.;Toledo;21;47.882;37.696;47.882;25.511;34.493;476.821;521.952
03/01/2022 08:05:00 p.m.;Vál. Aut. Bower;145;37.313;38.066;;;;;
03/01/2022 09:05:00 p.m.;Sudoeste;7;36.938;25.231;25.231;19.723;28.459;464.558;434.565
03/01/2022 09:05:00 p.m.;Toledo;21;47.815;37.84;47.815;24.482;34.078;511.078;521.952
03/01/2022 09:05:00 p.m.;Vál. Aut. Bower;145;37.335;37.954;;;;;
03/01/2022 10:05:00 p.m.;Sudoeste;7;36.943;25.247;25.247;19.429;29.374;494.632;434.565
03/01/2022 10:05:00 p.m.;Toledo;21;47.728;37.749;47.728;23.652;34.223;545.45;521.952
03/01/2022 10:05:00 p.m.;Vál. Aut. Bower;145;37.133;37.691;;;;;
03/01/2022 11:05:00 p.m.;Sudoeste;7;37.669;25.29;25.29;19.113;20.789;520.599;434.565
03/01/2022 11:05:00 p.m.;Toledo;21;47.661;38.109;47.661;23.265;33.479;579.36;521.952
03/01/2022 11:05:00 p.m.;Vál. Aut. Bower;145;37.444;37.954;;;;;
04/01/2022 12:05:00 a.m.;Sudoeste;7;38.438;25.286;25.286;19.266;17.965;539.774;434.565
04/01/2022 12:05:00 a.m.;Toledo;21;47.617;38.715;47.617;23.444;22.031;607.371;521.952
04/01/2022 12:05:00 a.m.;Vál. Aut. Bower;145;38.126;38.67;;;;;
04/01/2022 01:05:00 a.m.;Sudoeste;7;38.951;25.286;25.286;19.266;9.003;553.065;434.565
04/01/2022 01:05:00 a.m.;Toledo;21;;;;;;;
04/01/2022 01:05:00 a.m.;Vál. Aut. Bower;145;38.453;38.91;;;;;
04/01/2022 02:05:00 a.m.;Sudoeste;7;39.464;25.312;25.312;18.506;7.819;562.19;434.565
04/01/2022 02:05:00 a.m.;Toledo;21;47.632;39.181;47.632;21.552;10.936;637.746;521.952
04/01/2022 02:05:00 a.m.;Vál. Aut. Bower;145;38.625;39;;;;;
04/01/2022 03:05:00 a.m.;Sudoeste;7;39.91;25.338;25.338;16.543;6.644;569.402;434.565
04/01/2022 03:05:00 a.m.;Toledo;21;47.632;39.301;47.632;21.491;8.447;647.39;521.952
04/01/2022 03:05:00 a.m.;Vál. Aut. Bower;145;38.73;39.094;;;;;
04/01/2022 04:05:00 a.m.;Sudoeste;7;39.861;25.341;25.341;16.393;7.277;576.139;434.565
04/01/2022 04:05:00 a.m.;Toledo;21;47.685;39.267;47.685;21.812;7.908;655.682;521.952
04/01/2022 04:05:00 a.m.;Vál. Aut. Bower;145;38.768;39.109;;;;;
04/01/2022 05:05:00 a.m.;Sudoeste;7;39.905;25.325;25.325;16.831;0;581.207;434.565
04/01/2022 05:05:00 a.m.;Toledo;21;47.767;39.368;47.767;22.154;6.457;663.374;521.952
04/01/2022 05:05:00 a.m.;Vál. Aut. Bower;145;38.876;39.263;;;;;
04/01/2022 06:05:00 a.m.;Sudoeste;7;39.934;25.325;25.325;16.821;0;0;581.207
04/01/2022 06:05:00 a.m.;Toledo;21;47.844;39.565;47.844;21.963;4.059;0.836;667.287
04/01/2022 06:05:00 a.m.;Vál. Aut. Bower;145;39.09;39.443;;;;;
04/01/2022 07:05:00 a.m.;Sudoeste;7;;;;;;;
04/01/2022 07:05:00 a.m.;Toledo;21;47.892;38.883;47.892;21.637;3.926;4.734;667.287
04/01/2022 07:05:00 a.m.;Vál. Aut. Bower;145;38.434;38.801;;;;;
04/01/2022 08:05:00 a.m.;Sudoeste;7;37.088;25.286;25.286;18.921;21.138;25.803;581.207
04/01/2022 08:05:00 a.m.;Toledo;21;47.906;37.172;47.906;22.077;13.023;10.221;667.287
04/01/2022 08:05:00 a.m.;Vál. Aut. Bower;145;36.795;37.215;;;;;
04/01/2022 09:05:00 a.m.;Sudoeste;7;36.362;25.26;25.26;19.682;24.191;48.061;581.207
04/01/2022 09:05:00 a.m.;Toledo;21;47.849;36.677;47.849;23.696;28.569;33.142;667.287
04/01/2022 09:05:00 a.m.;Vál. Aut. Bower;145;36.251;36.769;;;;;
04/01/2022 10:05:00 a.m.;Sudoeste;7;35.554;25.228;25.228;20.595;27.021;73.331;581.207
04/01/2022 10:05:00 a.m.;Toledo;21;47.82;36.475;47.82;26.073;29.349;63.033;667.287
04/01/2022 10:05:00 a.m.;Vál. Aut. Bower;145;36.218;36.814;;;;;
04/01/2022 11:05:00 a.m.;Sudoeste;7;34.891;25.192;25.192;21.206;28.35;100.963;581.207
04/01/2022 11:05:00 a.m.;Toledo;21;47.786;36.316;47.786;27.217;32.347;94.358;667.287
04/01/2022 11:05:00 a.m.;Vál. Aut. Bower;145;36.075;36.825;;;;;
04/01/2022 12:05:00 p.m.;Sudoeste;7;34.523;25.18;25.18;21.356;31.049;131.143;581.207
04/01/2022 12:05:00 p.m.;Toledo;21;47.728;36.119;47.728;27.571;35.669;127.871;667.287
04/01/2022 12:05:00 p.m.;Vál. Aut. Bower;145;35.854;36.63;;;;;
04/01/2022 01:05:00 p.m.;Sudoeste;7;34.426;25.176;25.176;21.353;32.514;163.659;581.207
04/01/2022 01:05:00 p.m.;Toledo;21;47.651;36.047;47.651;27.563;38.326;164.429;667.287
04/01/2022 01:05:00 p.m.;Vál. Aut. Bower;145;35.794;36.596;;;;;
04/01/2022 02:05:00 p.m.;Sudoeste;7;34.479;25.199;25.199;21.391;29.562;195.909;581.207
04/01/2022 02:05:00 p.m.;Toledo;21;47.617;36.297;47.617;27.746;38.776;203.766;667.287
04/01/2022 02:05:00 p.m.;Vál. Aut. Bower;145;35.985;36.78;;;;;
04/01/2022 03:05:00 p.m.;Sudoeste;7;35.273;25.189;25.189;21.765;24.229;222.964;581.207
04/01/2022 03:05:00 p.m.;Toledo;21;47.598;36.936;47.598;28.714;37.728;241.815;667.287
04/01/2022 03:05:00 p.m.;Vál. Aut. Bower;145;36.645;37.474;;;;;
04/01/2022 04:05:00 p.m.;Sudoeste;7;36.773;25.199;25.199;21.848;22.092;246.601;581.207
04/01/2022 04:05:00 p.m.;Toledo;21;47.569;37.917;47.569;29.036;29.426;277.86;667.287
04/01/2022 04:05:00 p.m.;Vál. Aut. Bower;145;37.695;38.546;;;;;
04/01/2022 05:05:00 p.m.;Sudoeste;7;36.919;25.199;25.199;21.401;23.358;270.119;581.207
04/01/2022 05:05:00 p.m.;Toledo;21;47.55;37.859;47.55;27.656;26.381;304.727;667.287
04/01/2022 05:05:00 p.m.;Vál. Aut. Bower;145;37.729;38.576;;;;;
04/01/2022 06:05:00 p.m.;Sudoeste;7;36.406;25.192;25.192;21.062;25.182;295.321;581.207
04/01/2022 06:05:00 p.m.;Toledo;21;47.521;37.556;47.521;27.493;26.702;331.201;667.287
04/01/2022 06:05:00 p.m.;Vál. Aut. Bower;145;37.496;38.254;;;;;
04/01/2022 07:05:00 p.m.;Sudoeste;7;36.309;25.222;25.222;20.193;27.767;322.949;581.207
